id	title	named_in_scope7
brics-rs-96-35	brics-rs-96-35	no
cattani-winskel-2005-profunctors	cattani-winskel-2005-profunctors	no
brics-rs-94-7	brics-rs-94-7	no
schultz-spivak-temporal-type-theory	schultz-spivak-temporal-type-theory	no
fong-speranzon-spivak-temporal-landscapes	fong-speranzon-spivak-temporal-landscapes	no
schultz-spivak-vasilakopoulou-dynamical-systems-sheaves	schultz-spivak-vasilakopoulou-dynamical-systems-sheaves	no
thomason-1970-indeterminist-time	thomason-1970-indeterminist-time	no
rutten-2000-universal-coalgebra	rutten-2000-universal-coalgebra	no
jacobs-coalgebra-intro-draft	jacobs-coalgebra-intro-draft	no
danos-krivine-rccs	danos-krivine-rccs	no
reynolds-2003-ockhamist	reynolds-2003-ockhamist	no
rumberg-zanardo-2019-transition-structures	rumberg-zanardo-2019-transition-structures	no
j_nsson_and_tarski_-_1951_-_boolean_algebras_with_operators._part_i	Boolean Algebras with Operators. Part I	YES
j_nsson_and_tarski_-_1952_-_boolean_algebras_with_operators._part_ii	Boolean Algebras with Operators. Part II	YES
goldblatt_-_mathematical_modal_logic_a_view_of_its_evolution	Mathematical modal logic: A view of its evolution	YES
